"Not able to add wooden frame", 1
"Today", 1
"I want to print the occasion and a photo on the cover page", 1
"When I will get, how many days it will take to reach me . I live in Banglore", 1
"Delivery", 1
"I want gift suggestion for general in all gifts", 2
"location", 1
"I want gift suggestion for wife in all gifts", 2
"I have selected a gold coin photo engraved can u add and give me a ring to it to wear it as a dollar", 1
"How to use voucher", 1
"Order id GC track my order", -1
"i need two item today or maximum tommorrow morning", 1
"Hi I need to send a birthday scroll to my younger brother on his th birthday", 2
"Whether store in Delhi", 1
"I want a customised scroll can you do it in hindi", 1
"how to add in cart ?", 1
"Birthday", 2
"I want gift suggestion for general for love gifts", 2
"I want gift suggestion for boyfriend for birthday", 2
"I want gift suggestion for general for anniversary", 2
"Which photo format is supported by your site for personalised gifts?", 1
"I want the delivery today th December", 1
"i need this store developer company name", 1
"I want gift suggestion for couples for anniversary", 2
"Birthday", 2
"I want gift suggestion for dad for anniversary", 2
"I want gift suggestion for general", 2
"can i just get a custom photo's jigsaw puzzle", 1
"Apple e 💟 to.", 1
"in how much time u ll deliver", 1
"Gift option for teenagers", 2
"I want gift suggestion", 2
"is COD available", 1
"EZE", 1
"PIN code", 1
"I WANT TO ADD MY FATHER PHOTO IN MY WEDDING PHOTO", 1
"Unable to place Order", 1
"I want a gift for wife for Christmas", 2
"I want coupon code for Ring", 1
"Can i get silver bill", 1
"Do you cod", 1
"Can i talk to some agent", -2
"i have to upload to seperate pictures of us that you will merge to form one?", 1
"I have a card and needs that to be created", 1
"I want gift suggestion for friend for personalised category", 2
"I want gift suggestion for friend in all gifts", 2
"I want gift suggestion for friend for personalised category", 2
"Can I get a delivery today at ahmedabad", 1
"i have some image and content", 1
"I won't able to add in cart", 1
"I want gift suggestion for general in all gifts", 2
"Help", 1
"Out of country can be delivered?", 1
"Need to check delivery date", 1
"When can it be delivered?", 1
"Can I change the card", 1
"Can we customize this", 1
"Hello, instead of the existing message can I have a personalized one?", 1
"Love", 2
"Same day delivery possible?", 1
"Enquiry about 'To my bestie scroll' - I want to send this to two different people on two different addresses. And unable to find the option of adding name.", 1
"Will it be delivered by monday", 1
"I want vanadana", 2
"I want gift suggestion for friend for personalised category", 2
"I want gift suggestion for friend for personalised category", 2
"Contact to person", -2
"If i select quality of cufflinks does that mean I get pair or just one", 1
"I want a gift for wife for Christmas", 2
"Want to exchange", 1
"first time discount", 1
"Need to talk to agent", -2
"Cancel my order", -1
"Hey pure silver ?", 1
"How to order", 1
"When will my order Will be delivered", -1
"I want gift suggestion for husband for birthday", 2
"SISTER KE LIYE GIFT", 2
"Birthday", 2
"asldkjfalskjd", 1
"Can you do pieces?", 1
"i want delivery on an exact date", 1
"Need a faster delivery", 1
"I want gift suggestion for wife", 2
