ID|domain|text|USER_age|USER_gender|USER_domain_knowledge|KEYFACTS_annotator1|KEYFACTS_annotator2|KEYFACTS_annotator3|KEYFACTS_annotator4|KEYFACTS_annotation_by_2|KEYFACTS_IAA|KEYFACTS_segments|VAGUE_annotator1|VAGUE_annotator2|VAGUE_annotator3|VAGUE_annotator4|VAGUE_annotation_by_2|VAGUE_IAA|
466|laptop|I'm looking for a laptop that has a long battery life as often away from a charging source and a large memory as I use it for business so store a large amount of documents and photos. It also needs to be lightweight.|38|female|6|[['long', 36], ['battery', 41], ['large', 97], ['memory', 103], ['lightweight', 204]]|[['long', 36], ['battery', 41], ['life', 49], ['large', 97], ['memory', 103], ['store', 138], ['a', 144], ['large', 146], ['amount', 152], ['of', 159], ['lightweight', 204]]|[['long', 36], ['battery', 41], ['large', 97], ['memory', 103], ['lightweight', 204]]||[['long', 36], ['battery', 41], ['large', 97], ['memory', 103], ['lightweight', 204]]|0.6628056628056629|['lightweight', 'long battery', 'large memory']|[['long', 36], ['large', 97], ['large', 146]]|[['long', 36], ['large', 97], ['large', 146]]|[['long', 36], ['often', 57], ['large', 97], ['large', 146]]||[['long', 36], ['large', 97], ['large', 146]]|0.8924369747899159|
467|laptop|I would chose the same laptop. I'm used to it and don't want to experience a whole new learning process. Also, I like the lightness of the Mac Air and in general, like Apple products.|52|female|3|[['new', 83], ['learning', 87], ['process', 96], ['lightness', 122], ['of', 132], ['mac', 139], ['air', 143], ['apple', 168], ['products', 174]]|[['lightness', 122], ['of', 132], ['the', 135], ['mac', 139], ['air', 143], ['apple', 168], ['products', 174]]|[['lightness', 122], ['mac', 139], ['air', 143], ['apple', 168]]||[['lightness', 122], ['of', 132], ['mac', 139], ['air', 143], ['apple', 168], ['products', 174]]|0.6373626373626373|['Apple', 'Mac Air', 'lightness']|[['lightness', 122]]|[['lightness', 122]]|[['lightness', 122]]||[['lightness', 122]]|1.0|
468|laptop|An apple macbook because they are reliable laptops which are easy to transport and have a sleek design. It can also sync to my iPhone and other apple devices|19|male|5|[['apple', 3], ['macbook', 9]]|[['apple', 3], ['macbook', 9], ['reliable', 34], ['easy', 61], ['to', 66], ['transport', 69], ['sleek', 90], ['design', 96]]|[['apple', 3], ['macbook', 9], ['sleek', 90], ['design', 96], ['sync', 116], ['to', 121], ['other', 138], ['apple', 144], ['devices', 150]]||[['apple', 3], ['macbook', 9], ['sleek', 90], ['design', 96]]|0.2678018575851393|['sleek design', 'apple macbook', 'easy to transport']|[['reliable', 34], ['easy', 61], ['to', 66], ['transport', 69], ['sleek', 90]]|[['reliable', 34], ['easy', 61], ['sleek', 90]]|[['reliable', 34], ['easy', 61], ['to', 66], ['transport', 69], ['sleek', 90]]||[['reliable', 34], ['easy', 61], ['to', 66], ['transport', 69], ['sleek', 90]]|0.8212058212058212|
469|laptop|The laptop i would like would have to have a large amount of storage to store all of my photos and vidioes. Would have to include windows and excel, so i can use them both for my personel bits and pieces.  Have a good  sercureity system included. Have the cd player  and porthole for as memory stick. I am not very good with It skills and only use the laptop for personel use these are the things that are important to me|72|female|2|[['large', 45], ['amount', 51], ['storage', 61], ['to', 69], ['good', 213], ['sercureity', 219], ['system', 230]]|[['large', 45], ['amount', 51], ['of', 58], ['storage', 61], ['windows', 130], ['and', 138], ['excel', 142], ['good', 213], ['sercureity', 219], ['system', 230], ['cd', 256], ['player', 259], ['and', 267], ['porthole', 271], ['for', 280], ['as', 284], ['memory', 287], ['stick', 294]]|[['large', 45], ['storage', 61], ['windows', 130], ['excel', 142], ['sercureity', 219], ['system', 230], ['cd', 256], ['player', 259], ['porthole', 271], ['for', 280], ['memory', 287], ['stick', 294], ['personel', 363], ['use', 372]]||[['large', 45], ['amount', 51], ['storage', 61], ['windows', 130], ['excel', 142], ['good', 213], ['sercureity', 219], ['system', 230], ['cd', 256], ['player', 259], ['porthole', 271], ['for', 280], ['memory', 287], ['stick', 294]]|0.4840827449523102|['excel', 'good security system', 'large', 'cd player', 'memory stick', 'windows']|[['large', 45], ['good', 213], ['personel', 363]]|[['large', 45], ['good', 213]]|[['large', 45], ['good', 213]]||[['large', 45], ['good', 213]]|0.8535564853556485|
470|laptop|I would buy a laptop relatively similar to the one I have now. I like the touch screen feature and the reverse screen to use as a tablet.|20|male|3|[['touch', 74], ['screen', 80], ['reverse', 103], ['screen', 111]]|[['touch', 74], ['screen', 80], ['reverse', 103], ['screen', 111]]|[['touch', 74], ['screen', 80], ['reverse', 103], ['screen', 111], ['tablet', 130]]||[['touch', 74], ['screen', 80], ['reverse', 103], ['screen', 111]]|0.9100758396533044|['touch screen', 'reverse screen']|[['relatively', 21]]|[['relatively', 21], ['similar', 32]]|[['relatively', 21], ['similar', 32]]||[['relatively', 21], ['similar', 32]]|0.7894736842105263|
471|laptop|I would buy a newer laptop, with specifications that exceed the minimum required for The Sims 4|30|female|6|[['newer', 14], ['laptop', 20]]|[['newer', 14], ['laptop', 20], ['specifications', 33], ['that', 48], ['the', 85], ['sims', 89], ['4', 94]]|[['newer', 14], ['laptop', 20]]||[['newer', 14], ['laptop', 20]]|0.4318181818181819|['newer']|[['newer', 14]]|[['newer', 14]]|[['newer', 14], ['minimum', 64], ['required', 72]]||[['newer', 14]]|0.5652173913043478|
472|laptop|An Apple Mac and one which is better and faster than the one o lost |37|female|3|[['apple', 3], ['mac', 9], ['and', 13], ['better', 30], ['faster', 41]]|[['apple', 3], ['mac', 9], ['better', 30], ['faster', 41]]|[['apple', 3], ['mac', 9]]||[['apple', 3], ['mac', 9], ['better', 30], ['faster', 41]]|0.6470588235294117|['better', 'Apple Mac', 'faster']|[['better', 30], ['faster', 41]]|[['better', 30], ['faster', 41]]|[['better', 30], ['faster', 41]]||[['better', 30], ['faster', 41]]|1.0|
473|laptop|"I would probably buy a new versions m of my laptop, another 15"" MacBook pro as a replacement ."|33|male|5|[['new', 23], ['versions', 27]]|[['new', 23], ['versions', 27], ['15', 60], ['macbook', 64], ['pro', 72]]|[['15', 60], ['macbook', 64], ['pro', 72]]||[['new', 23], ['versions', 27], ['15', 60], ['macbook', 64], ['pro', 72]]|0.3977272727272727|['new', 'Mac Book Pro']|[['new', 24]]|[]|[['probably', 9]]||[]|0|
474|laptop|Small, sleek laptop - but not a notebook. Preferably having a touchscreen. Processor has to be the latest or at least not released more than a year ago. At least 2 TB hard drive space. Doesn’t have to be a gaming laptop. |34|male|5|[['small', 0], ['sleek', 7], ['laptop', 13], ['not', 26], ['a', 30], ['notebook', 32], ['touchscreen', 62], ['latest', 99], ['or', 106], ['2', 162], ['tb', 164], ['hard', 167], ['drive', 172], ['space', 178], ['gaming', 206]]|[['small', 0], ['sleek', 7], ['laptop', 13], ['notebook', 32], ['touchscreen', 62], ['processor', 75], ['be', 92], ['the', 95], ['latest', 99], ['released', 122], ['more', 131], ['than', 136], ['a', 141], ['year', 143], ['ago', 148], ['2', 162], ['tb', 164], ['hard', 167], ['drive', 172], ['space', 178], ['gaming', 206], ['laptop', 213]]|[['small', 0], ['sleek', 7], ['notebook', 32], ['touchscreen', 62], ['processor', 75], ['latest', 99], ['2', 162], ['tb', 164], ['hard', 167], ['drive', 172], ['gaming', 206]]||[['small', 0], ['sleek', 7], ['laptop', 13], ['notebook', 32], ['touchscreen', 62], ['processor', 75], ['latest', 99], ['2', 162], ['tb', 164], ['hard', 167], ['drive', 172], ['space', 178], ['gaming', 206]]|0.49919871794871795|['Processor', 'notebook', 'touchscreen', 'sleek', 'Small', 'gaming', '2 TB hard drive']|[['Small', 0], ['sleek', 7], ['latest', 99], ['gaming', 206]]|[['Small', 0], ['sleek', 7], ['gaming', 206]]|[['Small', 0], ['sleek', 7], ['Preferably', 42]]||[['Small', 0], ['sleek', 7], ['gaming', 206]]|0.6761061946902656|
475|laptop|I want to get a new laptop that is lightweight, but has a large screen. Ideally it would also have a good amount of storage and battery life.|20|male|5|[['new', 16], ['laptop', 20], ['lightweight', 35], ['large', 58], ['screen', 64], ['good', 101], ['amount', 106], ['of', 113], ['storage', 116], ['and', 124], ['battery', 128], ['life', 136]]|[['lightweight', 35], ['large', 58], ['screen', 64], ['good', 101], ['amount', 106], ['of', 113], ['storage', 116], ['battery', 128], ['life', 136]]|[['lightweight', 35], ['large', 58], ['screen', 64], ['good', 101], ['amount', 106], ['of', 113], ['storage', 116], ['and', 124], ['battery', 128], ['life', 136]]||[['lightweight', 35], ['large', 58], ['screen', 64], ['good', 101], ['amount', 106], ['of', 113], ['storage', 116], ['and', 124], ['battery', 128], ['life', 136]]|0.8484479610468655|['large screen', 'lightweight', 'good amount of storage and battery life', 'new']|[['lightweight', 35], ['large', 58], ['good', 101]]|[['lightweight', 35], ['large', 58], ['good', 101]]|[['new', 16], ['lightweight', 35], ['large', 58], ['good', 101]]||[['lightweight', 35], ['large', 58], ['good', 101]]|0.8873239436619719|
477|laptop|The laptop I would purchase as a replacement would be a smaller notebook style laptop. One that is small, easily portable and has Windows 10 installed. |38|male|5|[['smaller', 56], ['notebook', 64], ['easily', 106], ['portable', 113], ['windows', 130], ['10', 138]]|[['smaller', 56], ['notebook', 64], ['small', 99], ['easily', 106], ['portable', 113], ['windows', 130], ['10', 138]]|[['smaller', 56], ['notebook', 64], ['small', 99], ['easily', 106], ['portable', 113], ['windows', 130], ['10', 138]]||[['smaller', 56], ['notebook', 64], ['small', 99], ['easily', 106], ['portable', 113], ['windows', 130], ['10', 138]]|0.9336206896551724|['Windows 10', 'smaller', 'easily portable']|[['smaller', 56], ['small', 99], ['easily', 106], ['portable', 113]]|[['smaller', 56], ['small', 99], ['easily', 106]]|[['smaller', 56], ['small', 99], ['easily', 106], ['portable', 113]]||[['smaller', 56], ['small', 99], ['easily', 106], ['portable', 113]]|0.8948863636363636|
478|laptop|I would probably choose another MacBook as a replacement, probably a MacBook Air |23|female|5|[['macbook', 32], ['as', 40], ['macbook', 69], ['air', 77]]|[['macbook', 32], ['macbook', 69], ['air', 77]]|[['macbook', 32], ['macbook', 69], ['air', 77]]||[['macbook', 32], ['macbook', 69], ['air', 77]]|0.8689655172413793|['MacBook Air', 'MacBook']|[]|[]|[['probably', 8], ['probably', 58]]||[]|0|
479|laptop|I am planning on buying a much upgraded version of my old laptop. The memory size was fine but the processing speed of my old laptop was not great so I would like to improve on that as well as the screen resolution. Something that is lighter than my old one too|34|female|5|[['lighter', 234], ['than', 242]]|[['lighter', 234], ['than', 242]]|[['memory', 70], ['size', 77], ['fine', 86], ['but', 91], ['processing', 99], ['speed', 110], ['screen', 197], ['resolution', 204], ['lighter', 234], ['than', 242]]||[['lighter', 234], ['than', 242]]|0.3762575452716298|['lighter']|[['fine', 86], ['great', 141], ['lighter', 234]]|[['much', 26], ['upgraded', 31], ['lighter', 234]]|[['much', 26], ['upgraded', 31], ['lighter', 234]]||[['much', 26], ['upgraded', 31], ['lighter', 234]]|0.5313681027966742|
480|laptop|a laptop that has a lightup keyboard so i can use it in the dark and touch screen with a special pencil that works with the sceen |22|female|1|[['lightup', 20], ['keyboard', 28], ['touch', 69], ['screen', 75], ['special', 89], ['pencil', 97], ['that', 104]]|[['lightup', 20], ['special', 89], ['pencil', 97]]|[['lightup', 20], ['keyboard', 28], ['touch', 69], ['screen', 75], ['with', 82], ['special', 89], ['pencil', 97], ['works', 109], ['with', 115], ['the', 120], ['sceen', 124]]||[['lightup', 20], ['keyboard', 28], ['touch', 69], ['screen', 75], ['special', 89], ['pencil', 97]]|0.4285714285714286|['special pencil', 'lightup keyboard', 'touch screen']|[]|[]|[]||[]|1.0|
481|laptop|I would really like a brand new up to date modern laptop, something small and sleek but very fast and easy to use. I am tired of having the kids hand me downs, I never treat myself to something new so it has to be something i can afford.|49|female|2|[['brand', 22], ['new', 28], ['modern', 43], ['small', 68], ['and', 74], ['sleek', 78], ['but', 84], ['fast', 93], ['and', 98], ['easy', 102], ['to', 107], ['afford', 230]]|[['brand', 22], ['new', 28], ['up', 32], ['to', 35], ['date', 38], ['modern', 43], ['small', 68], ['sleek', 78], ['but', 84], ['very', 88], ['fast', 93], ['easy', 102], ['to', 107], ['use', 110]]|[['modern', 43], ['small', 68], ['sleek', 78], ['but', 84], ['very', 88], ['fast', 93], ['easy', 102], ['to', 107], ['use', 110]]||[['brand', 22], ['new', 28], ['modern', 43], ['small', 68], ['sleek', 78], ['but', 84], ['very', 88], ['fast', 93], ['easy', 102], ['to', 107], ['use', 110]]|0.6275510204081634|['very fast', 'easy to use', 'brand new', 'sleek', 'modern']|[['brand', 22], ['new', 28], ['up', 32], ['to', 35], ['date', 38], ['modern', 43], ['small', 68], ['sleek', 78], ['fast', 93], ['easy', 102], ['to', 107], ['use', 110]]|[['brand', 22], ['new', 28], ['small', 68], ['sleek', 78], ['very', 88], ['fast', 93], ['easy', 102], ['to', 107], ['use', 110]]|[['brand', 22], ['new', 28], ['up', 32], ['to', 35], ['date', 38], ['modern', 43], ['something', 58], ['small', 68], ['sleek', 78], ['very', 88], ['fast', 93], ['easy', 102]]||[['brand', 22], ['new', 28], ['up', 32], ['to', 35], ['date', 38], ['modern', 43], ['small', 68], ['sleek', 78], ['very', 88], ['fast', 93], ['easy', 102], ['to', 107], ['use', 110]]|0.6876876876876877|
482|laptop|Id like a lightweight laptop that holds a good charge and is easily portable. |42|female|3|[['lightweight', 10], ['laptop', 22], ['good', 42], ['charge', 47], ['easily', 61], ['portable', 68]]|[['lightweight', 10], ['laptop', 22], ['good', 42], ['charge', 47], ['easily', 61], ['portable', 68]]|[['lightweight', 10], ['good', 42], ['charge', 47], ['easily', 61], ['portable', 68]]||[['lightweight', 10], ['laptop', 22], ['good', 42], ['charge', 47], ['easily', 61], ['portable', 68]]|0.9035294117647059|['lightweight', 'easily portable', 'good charge']|[['lightweight', 10], ['good', 42], ['easily', 61]]|[['lightweight', 10], ['good', 42], ['easily', 61]]|[['lightweight', 10], ['good', 42], ['easily', 61]]||[['lightweight', 10], ['good', 42], ['easily', 61]]|1.0|
484|laptop|Macbook or any apple product because I have an iPhone and iPad and all my work syncs|22|male|4|[['macbook', 0], ['or', 8], ['apple', 15], ['product', 21]]|[['macbook', 0], ['or', 8], ['apple', 15]]|[['macbook', 0], ['apple', 15], ['product', 21], ['syncs', 79]]||[['macbook', 0], ['or', 8], ['apple', 15], ['product', 21]]|0.6590909090909092|['Macbook', 'apple product']|[]|[]|[]||[]|1.0|
