Id,title,handle,body_html,tags
1,"""It's a Boy"" announcement personalised Photo Chocolate",its-a-boy-announcement-personalised-photo-chocolate,"We use an incredible blend of milk and dark chocolates. The subsequent chocolate has a rich surface and fully delectable in taste without being excessively sweet. The Chocolates are pure vegetarian Our product are made with utmost care and delicacy with keeping high standard of maintaining the hygiene. Each chocolates weigh about 10-15gms For printed/photo chocolate:The Printing will be done on the chocolate with edible ink which is safe for consumption. Ingredients that are used for printing on chocolates are the best in industry and are imported which have global standardization. Printing might be affected in some area in rare scenarios, the product is still good to go for consumptions. Chocolate Box : We are using premium quality wooden box, dimesions are as per below. Box Size(No of chocolates) Box Dimensions Total Weight(Box + Chocolate) 6 Chocolate Box 180 x 100 x 32 mm 230 grams 12 Chocolate Box 230 x 150 x 32 mm 420 grams 18 Chocolate Box 320 x 150 x 32 mm 650 grams Shelf Life: 3 Months.Keep it in a cool dry and hygienic place.The temperature required Up-to 25 degrees.Refrigeration not necessarily required if temperature is maintained. utility : best for gift to twins new born babies, new mom, baby boy birthday, baby showers, hospital visits, or homecoming celebrations, baby boy announcement or just because Ingredients: Sugar, Edible Vegetable Fat (Hydrogenated), Milk Solids, Cocoa Solids, Emulsifiers (INS322), VANILLANumber of Items: 6/12/18Expiry Date : Best before 3 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bar"","" Choco Bars"","" Edible Photo Personalised Chocolate"","" Personalised Gifts""}"
2,"""K"" Initial Stud Earring for Women",k-initial-stud-earring-for-women,"The ""K"" Initial Stud Earring for Women is a stylish and personalized accessory that adds a touch of elegance to any look. Crafted with precision, this stud earring features a beautifully designed letter ""K,"" making it an ideal choice for those who want to showcase their initial or wear a meaningful symbol. Made from high-quality materials such as sterling silver, gold-plated brass, or even diamond-encrusted designs, it ensures durability and long-lasting shine. With its minimalist yet sophisticated appeal, this earring complements both casual and formal outfits. Whether you're heading to work, a social gathering, or a special occasion, the ""K"" Initial Stud Earring is a versatile addition to your jewelry collection. It also makes for a thoughtful and personalized gift for birthdays, anniversaries, or any memorable celebration. Designed for comfort, the earring comes with a secure back closure to ensure a snug fit throughout the day. Lightweight and easy to wear, it suits all ages and styles. Whether worn alone for a subtle statement or paired with other earrings for a trendy stacked look, the ""K"" Initial Stud Earring is a timeless and charming piece that adds a personal touch to your jewelry collection. Utility: ""K"" Initial Stud Earring for Women Numberof Item: 2Weight: 2.02 gmMaterial: GoldMarketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email :cx@giftcart.comCountry of Origin: India","{Jewellery,"" Jewelry"","" Silver Jewellery""}"
3,"""S"" Initial Stud Earring for Women",s-initial-stud-earring-for-women,"The ""S"" Initial Stud Earring for Women is a stylish and elegant accessory designed for those who love personalized jewelry. Crafted with precision, this earring features a beautifully shaped ""S"" initial, making it a perfect piece for individuals whose names start with the letter or for those who wish to carry a sentimental connection. Made from high-quality materials such as sterling silver, gold, or rose gold plating, this stud earring offers a polished finish that adds a touch of sophistication to any outfit. Its minimalist design ensures versatility, allowing it to be worn for both casual and formal occasions. Whether paired with other earrings for a trendy stacked look or worn alone for a subtle statement, this stud is a must-have addition to any jewelry collection. Designed for comfort and durability, the earring features a secure post back closure, ensuring it stays in place throughout the day. It makes for a thoughtful gift option for birthdays, anniversaries, or special moments. Whether you're treating yourself or surprising a loved one, the ""S"" Initial Stud Earring embodies both style and sentiment, making it a timeless piece that enhances any jewelry collection. Utility: ""S"" Initial Stud Earring for Women Numberof Item: 2Weight: 2 gmMaterial: GoldMarketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email :cx@giftcart.comCountry of Origin: India","{Jewellery,"" Jewelry"","" Silver Jewellery""}"
4,#1 Mom Heart Printed Ceramic Coffee Mug Gift For Mom,mom-heart-printed-ceramic-coffee-mug-gift-for-mom,"Make your mom feel like the true champion she is with the Giftcart ""#1 Mom"" Coffee Mug. Designed with love and admiration, this 300ml ceramic mug is an ideal gift for Mother’s Day, her birthday, or any occasion that celebrates her. Every sip from this mug will remind her she’s the best—today and always. Utility: Made from high-quality ceramic, the mug is microwave- and dishwasher-safe—perfect for daily use with tea, coffee, or her favorite beverage, blending heartfelt sentiment with everyday convenience.Dishwasher Safe: YesMicrowave Safe: YesCapacity: 300 mlDimensions: 7 x 10 cmMaterial: CeramicProduct Weight: 325 gmPackage Weight: 433 gmNumber of Items: 1Marketed By : Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Coffee Mugs"","" Offer Products""}"
5,#1 Mom Nutrition Facts Coffee Mug Gift For Mom,1-mom-nutrition-facts-coffee-mug-gift-for-mom,"A perfect gift for Mom to make them feel special on Mother's Day. This mug is bound to raise a smile. It is a great addition to the kitchen or office. Celebrate Mom with our No 1 Mom Nutrition Facts Coffee Mug, the perfect Mother's Day gift! Show her she's loved and appreciated with this thoughtful and practical present. Our mug combines sentimentality and functionality, reminding her of her top-notch qualities every time she enjoys her favorite brew. With its charming design and durable construction, it's sure to become her favorite mug. For ideal Mother's Day gifts, look no further! Give her something she'll cherish daily, reminding her of her exceptional role. Explore our gift suggestions for Mother's Day and make her day extra special with this heartfelt token of appreciation. Utility : Happy mother's day, happy mothers day thought, mothers day message for mom, birthday gifts for mother, gifts for mother in law, mother's day gifts from daughter, unique mother's day gifts, mother's day gifts, ideal mother's day gifts, gift suggestions for mother's day, custom coffee mugs, Mugs for mom /mother, top 10 gifts for mom, best gift for mom Material: White Ceramic | High Quality Digital Printing | Premium Quality Gloss Finished.Features:Dishwasher &amp; Microwave Safe | Non Toxic | BPA Free | Environment Friendly | Reusable and Odorless| 2 Layered Thermocol Safe Packaging.Please Note:*Colour of the actual product may slightly vary due to different photographic lighting sources or your display color settings. Packaging: 2 Layered Thermocol Safe Packaging Dishwasher Safe: YesMicrowave Safe: YesCapacity: 300 mlDimensions: 7 x 10 cmMaterial: CeramicProduct Weight: 325 gmPackage Weight: 433 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Coffee Mugs""}"
6,#1 Mom Printed Ceramic Coffee Mug Gift For Mom,mom-printed-ceramic-coffee-mug-gift-for-mom,"Let your mom know she's your number one with the Giftcart ""#1 Mom"" Printed Coffee Mug. Whether it’s Mother’s Day, her birthday, or just a moment to say “I love you,” this 300ml ceramic mug is a perfect gesture of appreciation. Stylish and heartfelt, it’s a gift she’ll treasure with every comforting sip. Utility: Made from premium-quality ceramic, this mug is microwave- and dishwasher-safe—making it a practical and lasting reminder of your love during her daily tea or coffee ritual.Dishwasher Safe: YesMicrowave Safe: YesCapacity: 300 mlDimensions: 7 x 10 cmMaterial: CeramicProduct Weight: 325 gmPackage Weight: 433 gmNumber of Items: 1Marketed By : Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Coffee Mugs"","" Offer Products""}"
7,#Love Couple Coffee Mug Gift for Valentine's Day,love-couple-coffee-mug-gift-for-valentines-day,A perfect gift for friends to make them feel special. This mug is bound to raise a smile. It is a great addition to the kitchen or office. Material: White Ceramic | High Quality Digital Printing | Premium Quality Gloss FinishedDimension:Â 7 x 10 cm|Capacity: 300 ml | Package content: 1 MugFeatures: Dishwasher &amp; Microwave Safe | Non Toxic | BPA Free | Environment Friendly | Reusable and Odorless| 2 Layered Thermocol Safe Packaging.Please Note: *Colour of the actual product may slightly vary due to different photographic lighting sources or your display color settings.Utility: Gift For Boyfriend|Gift ForAnniversary Dishwasher Safe:Â YesMicrowave Safe:Â YesCapacity:Â 300 mlDimensions:Â 7 x 10 cmMaterial:Â CeramicProduct Weight:Â 325 gmPackage Weight:Â 433 gmNumber of Items:Â 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email :Â cx@giftcart.comCountry of Origin: India. Â,"{""COD - GBGT"","" Coffee Mugs"","" Couple"","" Husband"","" set of 2 coffee mug"","" Wife"","" women""}"
8,10 Pink Roses In Brown Paper,10-pink-roses-in-brown-paper,"A Rundown By Us: Every detailing of the flower bouquet looks so eye-catching. A bouquet of pink roses will shine your life with its prettiness. Read More What we'll provide: 10 Pink Roses Brown Paper Wrapping Tied with Pink Raffia Notes: Since flowers are perishable in nature, we will be able to attempt delivery of your order only once. This product is hand delivered and will not be delivered along with courier products. Occasionally, substitution of flowers is necessary due to temporary and/or regional unavailability issues. Don’t place the flower arrangement under direct sunlight or near any other source of excessive heat. If any petal gets damaged, then remove it from the flower. Bouquet Includes: 10 Pink Roses Brown Paper Wrapping Tied with Pink Raffia Number of Items: 1 BouquetMarketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India All major pincodes of the selected city are covered, however if your pincode is on city outskirts then please check with our customer care if your area is serviceable by our flower delivery network","{bestseller,"" Bestsellers"","" Couple"","" Flower""}"
9,101 Ways To Love You,101-ways-to-love-you,"It is a wonderful way of surprising the loving partner! Send him or her 101 of the most romantic messages, held in a jar on the most romantic day of the year. 101 love messagesDisclaimerThe bulb jar is available in blue, green, red and yellow colours. The available colour at the time of order will be dispatched.Country of Origin: IndiaDimensions: 11 L x 6 W cmMaterial: Glass JarProduct Weight: 200 gmPackage Weight: 300 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Couple"","" Message in a bottle""}"
10,11 cm Just You Brown Teddy,11-cm-just-you-brown-teddy,"Cherish those special moments forever. Let your beloved know you belong together. The adorable teddy bear measures 19L x 12W x 11H cm in size and its body is a beautiful mix of light brown, red and white hues. It is holding a tiny heart with 'Just For You' written on it.Teddy bearDimension: 19L x 12W x 11H cm (7x4x4)Primary colour: light brown Dimensions: 25 cmOuter: Soft plush coverInner filling: Polyfill StuffingProduct Weight: 120gmPackage Weight: 220gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Offer Products""}"
