"sentence","label","tokens"
"I would choose a light workstation laptop. It would be best for the work that I do with it. In the past, most of these types of computers were heavier than most and very costly due to their robust power.",2,"would|choose|light|workstation|laptop|it|would|be|best|for|the|work|that|do|with|it|in|the|past|most|of|these|types|of|computers|were|heavier|than|most|and|very|costly|due|to|their|robust|power"
"I'm looking for something relatively simple but with a good amount of memory storage. It needs to be sturdy though as it will get a lot of stick in my shop.",2,"looking|for|something|relatively|simple|but|with|good|amount|of|memory|storage|it|needs|to|be|sturdy|though|as|it|will|get|lot|of|stick|in|my|shop"
"I would choose a LENOVO as a replacement, they are decently priced and have good ratings.",2,"would|choose|lenovo|as|replacement|they|are|decently|priced|and|have|good|ratings"
"I plan to buy a jacket that's thermal heat reflective, black, water resistant, and is about knee length. It would have a removable hood and be lightweight, but warm. ",2,"plan|to|buy|jacket|that|thermal|heat|reflective|black|water|resistant|and|is|about|knee|length|it|would|have|removable|hood|and|be|lightweight|but|warm"
"It would be a navy blue colour and it would be lightweight. It would have a hoodie and plenty of pocket space, and it would have a zip.",2,"it|would|be|navy|blue|colour|and|it|would|be|lightweight|it|would|have|hoodie|and|plenty|of|pocket|space|and|it|would|have|zip"
"I would love to buy a plether black jacket, with lapels and soft material that flatters my figure. It would probably be from my favourite shop Oasis, and I hope to buy it with a student discount.",2,"would|love|to|buy|plether|black|jacket|with|lapels|and|soft|material|that|flatters|my|figure|it|would|probably|be|from|my|favourite|shop|oasis|and|hope|to|buy|it|with|student|discount"
"Size large. Black and padded. Doesn't have to have a hood but would be good if it had one. No more than about £50 cost. Doesn't have to be a brand name. Needs to be a zip up one with press stud fastening as well.",2,"size|large|black|and|padded|doesn|have|to|have|hood|but|would|be|good|if|it|had|one|no|more|than|about|cost|doesn|have|to|be|brand|name|needs|to|be|zip|up|one|with|press|stud|fastening|as|well"
"i would choose a brown borg jacket with a white faux fur trim",2,"would|choose|brown|borg|jacket|with|white|faux|fur|trim"
"I would choose a macbook pro as a replacement laptop, because they are great machines and most likely it would replace my existing macbook",2,"would|choose|macbook|pro|as|replacement|laptop|because|they|are|great|machines|and|most|likely|it|would|replace|my|existing|macbook"
"I want a laptop which is slim and has the best possible processor, memory and battery capacity.",2,"want|laptop|which|is|slim|and|has|the|best|possible|processor|memory|and|battery|capacity"
"I would like to buy a new water proof jacket to wear on a daily basis, it cannot be just shower proof, it has to be totally water proof.  I would prefer it to have a hood attached and be either burgandy or black in colour and be a bit shorter than thigh length.",2,"would|like|to|buy|new|water|proof|jacket|to|wear|on|daily|basis|it|cannot|be|just|shower|proof|it|has|to|be|totally|water|proof|would|prefer|it|to|have|hood|attached|and|be|either|burgandy|or|black|in|colour|and|be|bit|shorter|than|thigh|length"
"A black distressed denim jacket with fluff on the inside",2,"black|distressed|denim|jacket|with|fluff|on|the|inside"
"A vintage cropped, batwing, black leather jacket that I could sew patches on to",2,"vintage|cropped|batwing|black|leather|jacket|that|could|sew|patches|on|to"
"I want a warm winter jacket due to living in New York.  It should be fairly plain as I do not like clothes that stand out too much but should also be on the cheaper side since I dont like to spend too much money on clothing.",2,"want|warm|winter|jacket|due|to|living|in|new|york|it|should|be|fairly|plain|as|do|not|like|clothes|that|stand|out|too|much|but|should|also|be|on|the|cheaper|side|since|dont|like|to|spend|too|much|money|on|clothing"
"I would choose a tough, hardy jacket as I value durability in a product, perhaps a leather jacket.",2,"would|choose|tough|hardy|jacket|as|value|durability|in|product|perhaps|leather|jacket"
"I would like a grey puffer jacket that will protect me from the rain, keeps me warm and is lightweight. It needs to have a hood with some fur",2,"would|like|grey|puffer|jacket|that|will|protect|me|from|the|rain|keeps|me|warm|and|is|lightweight|it|needs|to|have|hood|with|some|fur"
"I would purchase another refurbished laptop with a DVDRW CD Drive, i7 Intel processor, 16GB RAM, 1TB SSD Hybrid, and Windows 10.",2,"would|purchase|another|refurbished|laptop|with|dvdrw|cd|drive|intel|processor|gb|ram|tb|ssd|hybrid|and|windows"
"The laptop I would choose as a replacement would have to be reliable. I would need to make sure the company provides me with a guarantee so if the keyboard stopped working they would replace it free of charge. It would also need to be fashionable, play videos, have editing software and also have disc drive.",2,"the|laptop|would|choose|as|replacement|would|have|to|be|reliable|would|need|to|make|sure|the|company|provides|me|with|guarantee|so|if|the|keyboard|stopped|working|they|would|replace|it|free|of|charge|it|would|also|need|to|be|fashionable|play|videos|have|editing|software|and|also|have|disc|drive"
