"sentence","label"
"I want gift suggestion for general in all gifts",2
"I want gift suggestion for wife in all gifts",2
"Hi I need to send a birthday scroll to my younger brother on his th birthday",2
"Birthday",2
"I want gift suggestion for general for love gifts",2
"I want gift suggestion for boyfriend for birthday",2
"I want gift suggestion for general for anniversary",2
"I want gift suggestion for couples for anniversary",2
"Birthday",2
"I want gift suggestion for dad for anniversary",2
"I want gift suggestion for general",2
"Gift option for teenagers",2
"I want gift suggestion",2
"I want a gift for wife for Christmas",2
"I want gift suggestion for friend for personalised category",2
"I want gift suggestion for friend in all gifts",2
"I want gift suggestion for friend for personalised category",2
"I want gift suggestion for general in all gifts",2
"Love",2
"I want vanadana",2
"I want gift suggestion for friend for personalised category",2
"I want gift suggestion for friend for personalised category",2
"I want a gift for wife for Christmas",2
"I want gift suggestion for husband for birthday",2
"SISTER KE LIYE GIFT",2
"Birthday",2
"I want gift suggestion for wife",2
"Birthday",2
"I want gift suggestion for friend for personalised category",2
"I want a gift for husband for Diwali",2
"I want gift suggestion for brother for birthday",2
"The teddy bear set",2
"I want bluetooth speaker",2
"Customised key chain",2
"I want gift suggestion for husband for birthday",2
"I want a gift for wife for Karva Chauth",2
"Need customized keychain",2
"Required key rings",2
"Want some unique gift for my sister on her birthday",2
"Watch",2
"I want a gift for babies for Diwali",2
"I want gift suggestion for friend for personalised category",2
"I want gift suggestion for friend in all gifts",2
"I want gift suggestion for general in all gifts",2
"I want gift suggestion for friend in all gifts",2
"I need pages notebook.",2
"need ideas",2
"I want gift suggestion for boyfriend for birthday",2
"Poorvika bike point keychain",2
"I want gift suggestion for boyfriend for birthday",2
"I want a gift for girlfriend for Christmas",2
"I want bracelet",2
"Suprise gift for women",2
"I want a gift for girlfriend for Independence Day",2
"Customized gift hamper",2
"I want gift suggestion for friend for personalised category",2
"I want empty letters ill fill by myself",2
"I want unruled customized book",2
"I need to get a get well soon teddy by tomorrow",2
"I want name on keychain",2
"I want gift suggestion for husband for birthday",2
"I want gift suggestion for boyfriend for love gifts",2
"I want gift suggestion for kids",2
"I want gift suggestion for kids",2
"I want gift suggestion",2
"corporate gifts",2
"I want gift suggestion for sister",2
"I want gift suggestion for boyfriend for personalised category",2
"escada perfume i need",2
"I want gift suggestion for general in hatke category",2
"corporate gifting options",2
"I want gift suggestion for boyfriend for personalised category",2
"I want to order puzzle frame",2
"I want to customise a keychain",2
"I want a gift for wife for Karva Chauth",2
"I want gift suggestion for friend for birthday",2
"I want gift suggestion for brother in all gifts",2
"Gift for employees on independence",2
"I want gift suggestion for friend for birthday",2
"Key chain",2
"Hiii i want to order pc customize keyring",2
"I want gift suggestion for dad for anniversary",2
"I need to order personalized gift card",2
"Gift for favourite senior on his farewell",2
"I want a gift for wife for Karva Chauth",2
"I want gift suggestion",2
"I want a gift for dad for Fathers Day",2
"I want gift suggestion for general in all gifts",2
"I want rose gold chain with xoxo pendent",2
"I want a gift for dad for Fathers Day",2
"I want a gift for dad for Fathers Day",2
"I want gift suggestion for husband in all gifts",2
"I want gift suggestion for wife",2
"Home appliance shop model key chain",2
"Send a gift",2
"Birthday",2
"I want gift suggestion for mother in all gifts",2
"I want a gift for boyfriend for Onam",2
"I want gift suggestion for general in all gifts",2
"I want a gift for husband for Fathers Day",2
"I want gift suggestion for husband for personalised category",2
"I want gift suggestion for friend for personalised category",2
"I want gift suggestion",2
"I want gift suggestion for friend for birthday",2
"Iwant single artificial rose long stem",2
"I want gift suggestion for husband for anniversary",2
"I want gift suggestion for boyfriend for birthday",2
"I want gift suggestion for boyfriend for birthday",2
"I want a gift for brother for Raksha Bandhan",2
"I want a gift for girlfriend for Christmas",2
"I need pieces puzzle",2
"I want gift suggestion for friend",2
"I want gift suggestion",2
"I want gift suggestion for friend for birthday",2
"I want gift suggestion for husband for love romance",2
"I want gift suggestion for dad for anniversary",2
"I want gift suggestion for mother",2
"Birthday gift for men",2
"I want a gift for mother for Independence Day",2
"I want gift suggestion for general in all gifts",2
"Phone cases",2
"I am searching for a gift th wedding anniversary traditional tin gift",2
"Hi I need a jigsaw puzzle customized with photos",2
"Customized silver coin",2
"Mother day",2
"I want gift suggestion for friend for birthday",2
"I want to gift mu mom on mother's day under what is suitable to buy???",2
"I want to order customised card",2
"I want a gift",2
"I want gift suggestion for husband for anniversary",2
"I want gift suggestion for boyfriend for love gifts",2
"I want gifts under for the quantity of pax",2
"I want to order qty Spotify engraved photo frame",2
"I want gift for my bhabhi",2
"I want gift suggestion for general",2
"I want gift suggestion for dad for birthday",2
"I want gift suggestion for friend for personalised category",2
"I want gift suggestion for wife in all gifts",2
"Best friend birthday gift",2
"I want gift suggestion for boyfriend for birthday",2
"customise cake",2
"All gifts",2
"Fufa ji k liye",2
"a gift for newly wed couple",2
"I want gift suggestion for general in all gifts",2
"Add on delights",2
"Baby brith photo frame",2
"I want gift suggestion",2
"Aesthetic gift for sister",2
"thermal cope beer ml",2
"Anniversary",2
"I want gift suggestion for friend for birthday",2
"I want gift suggestion for friend for birthday",2
"I want gift suggestion for boyfriend for personalised category",2
"I want gift suggestion for wife",2
"Need to order for",2
"College farewell gifts under rs 500",2
"I want a gift for husband for Fathers Day",2
"I want a water bottle with personalized name on it",2
"I want gift suggestion for couples for anniversary",2
"Saari function gift",2
"I want gift suggestion for sister in all gifts",2
"I want several gift for my girlfriend which she can use daily under",2
"I want gift suggestion for husband in naughty gifts",2
"I want cute boy doll",2
"I want to gift for my brother on tomorrow",2
"Resin art?",2
"What are the chocolate for birthday",2
"I want to make a customized newspaper congrating a frnd",2
"I want gift suggestion for friend for personalised category",2
"I want a gift for husband for Valentine's Day",2
"I want a gift for husband for Valentine's Day",2
"gram silver coin",2
"I want a gift for couples for Valentine's Day",2
"I want gift suggestion",2
"I want a gift for wife for Valentine's Day",2
"The king pet portrait",2
"Hy i need few gift options for my female employees on womens day under budget each",2
"I want gift suggestion for boyfriend in all gifts",2
"I want a gift for husband for Valentine's Day",2
"I want gift suggestion for boyfriend for birthday",2
"I want gift suggestion for husband in all gifts",2
"I want a gift for husband for Valentine's Day",2
"hi can i have a personalised magazine cover for my husbands birthday.....VOGUE and filmfare digital copy",2
"I want a gift for boyfriend for Valentine's Day",2
"I want gift suggestion for dad for birthday",2
"suggest me a birthday to my father on his year birthday",2
"I want gift suggestion for husband for birthday",2
"I want gift suggestion for friend for birthday",2
"I want gift suggestion for boyfriend for personalised category",2
"I want a gift for husband for Valentine's Day",2
"Would like to get sketch art photo frame",2
"I want a gift for husband for Valentine's Day",2
"I want a minions customisation cup but it would be D silicone stainless cup",2
"I want gift suggestion for husband for birthday",2
"Newspaper",2
"Love",2
"I want gift suggestion for girlfriend in all gifts",2
"I want gift suggestion for husband for personalised category",2
"Anniversary",2
"I want gift suggestion for wife in all gifts",2
"I want a gift for girlfriend for Valentine's Day",2
"I want gift suggestion for husband for anniversary",2
"I want gift suggestion for wife in all gifts",2
"I want gift suggestion for brother",2
"I want gift suggestion for husband for birthday",2
"I want to personalize a gift",2
"hi can you get me personalised newspapr of pages?",2
"I want a gift for boyfriend for Valentine's Day",2
"I want gift suggestion for brother for birthday",2
"I want a gift for husband for Valentine's Day",2
"I want a gift for wife for Valentine's Day",2
"I want a gift for husband for Valentine's Day",2
"I want gift suggestion for friend for birthday",2
"I want gift suggestion for husband for birthday",2
"I want gift suggestion for Boyfriend in naughty gifts",2
"I want gift suggestion for Boyfriend in naughty gifts",2
"new year customised calender",2
"I want gift suggestion for boyfriend",2
"need seat cover",2
"Hey I want the hand written poem to frame with my daughter picture",2
"I want my own personalized wood texture painting under rupees",2
"I want a gift for husband for Valentine's Day",2
"I want gaming giftcart",2
"I want gift suggestion for husband",2
"Haapy new year mirror card",2
"Coin",2
"I want gift suggestion for wife in all gifts",2
"I want gift suggestion for dad for birthday",2
"I want gift suggestion for boyfriend for birthday",2
"I want gift suggestion for friend for birthday",2
"I want gift suggestion",2
"I want gift suggestion for friend",2
"I want gift suggestion for friend for birthday",2
