sentence,label,tokens,bio_tags
I want gift suggestion for general in all gifts,2,want|gift|suggestion|for|general|in|all|gifts,O|B|O|O|O|O|O|B
I want gift suggestion for wife in all gifts,2,want|gift|suggestion|for|wife|in|all|gifts,O|B|O|O|O|O|O|B
Hi I need to send a birthday scroll to my younger brother on his th birthday,2,hi|need|to|send|birthday|scroll|to|my|younger|brother|on|his|th|birthday,O|O|O|O|B|I|O|O|O|O|O|O|O|O
Birthday,2,birthday,O
I want gift suggestion for general for love gifts,2,want|gift|suggestion|for|general|for|love|gifts,O|B|O|O|O|O|B|I
I want gift suggestion for boyfriend for birthday,2,want|gift|suggestion|for|boyfriend|for|birthday,O|B|O|O|O|O|O
I want gift suggestion for general for anniversary,2,want|gift|suggestion|for|general|for|anniversary,O|B|O|O|O|O|O
I want gift suggestion for couples for anniversary,2,want|gift|suggestion|for|couples|for|anniversary,O|B|O|O|O|O|O
Birthday,2,birthday,O
I want gift suggestion for dad for anniversary,2,want|gift|suggestion|for|dad|for|anniversary,O|B|O|O|O|O|O
I want gift suggestion for general,2,want|gift|suggestion|for|general,O|B|O|O|O
Gift option for teenagers,2,gift|option|for|teenagers,B|O|O|O
I want gift suggestion,2,want|gift|suggestion,O|B|O
I want a gift for wife for Christmas,2,want|gift|for|wife|for|christmas,O|B|O|O|O|O
I want gift suggestion for friend for personalised category,2,want|gift|suggestion|for|friend|for|personalised|category,O|B|O|O|O|O|O|O
I want gift suggestion for friend in all gifts,2,want|gift|suggestion|for|friend|in|all|gifts,O|B|O|O|O|O|O|B
I want gift suggestion for friend for personalised category,2,want|gift|suggestion|for|friend|for|personalised|category,O|B|O|O|O|O|O|O
I want gift suggestion for general in all gifts,2,want|gift|suggestion|for|general|in|all|gifts,O|B|O|O|O|O|O|B
Love,2,love,O
I want vanadana,2,want|vanadana,O|B
I want gift suggestion for friend for personalised category,2,want|gift|suggestion|for|friend|for|personalised|category,O|B|O|O|O|O|O|O
I want gift suggestion for friend for personalised category,2,want|gift|suggestion|for|friend|for|personalised|category,O|B|O|O|O|O|O|O
I want a gift for wife for Christmas,2,want|gift|for|wife|for|christmas,O|B|O|O|O|O
I want gift suggestion for husband for birthday,2,want|gift|suggestion|for|husband|for|birthday,O|B|O|O|O|O|O
SISTER KE LIYE GIFT,2,sister|ke|liye|gift,O|O|O|B
Birthday,2,birthday,O
I want gift suggestion for wife,2,want|gift|suggestion|for|wife,O|B|O|O|O
Birthday,2,birthday,O
I want gift suggestion for friend for personalised category,2,want|gift|suggestion|for|friend|for|personalised|category,O|B|O|O|O|O|O|O
I want a gift for husband for Diwali,2,want|gift|for|husband|for|diwali,O|B|O|O|O|O
I want gift suggestion for brother for birthday,2,want|gift|suggestion|for|brother|for|birthday,O|B|O|O|O|O|O
The teddy bear set,2,the|teddy|bear|set,O|B|I|I
I want bluetooth speaker,2,want|bluetooth|speaker,O|B|I
Customised key chain,2,customised|key|chain,B|I|I
I want gift suggestion for husband for birthday,2,want|gift|suggestion|for|husband|for|birthday,O|B|O|O|O|O|O
I want a gift for wife for Karva Chauth,2,want|gift|for|wife|for|karva|chauth,O|B|O|O|O|O|O
Need customized keychain,2,need|customized|keychain,O|B|I
Required key rings,2,required|key|rings,O|B|I
Want some unique gift for my sister on her birthday,2,want|some|unique|gift|for|my|sister|on|her|birthday,O|O|B|I|O|O|O|O|O|O
Watch,2,watch,B
I want a gift for babies for Diwali,2,want|gift|for|babies|for|diwali,O|B|O|O|O|O
I want gift suggestion for friend for personalised category,2,want|gift|suggestion|for|friend|for|personalised|category,O|B|O|O|O|O|O|O
I want gift suggestion for friend in all gifts,2,want|gift|suggestion|for|friend|in|all|gifts,O|B|O|O|O|O|O|B
I want gift suggestion for general in all gifts,2,want|gift|suggestion|for|general|in|all|gifts,O|B|O|O|O|O|O|B
I want gift suggestion for friend in all gifts,2,want|gift|suggestion|for|friend|in|all|gifts,O|B|O|O|O|O|O|B
I need pages notebook.,2,need|pages|notebook,O|B|I
need ideas,2,need|ideas,O|O
I want gift suggestion for boyfriend for birthday,2,want|gift|suggestion|for|boyfriend|for|birthday,O|B|O|O|O|O|O
Poorvika bike point keychain,2,poorvika|bike|point|keychain,O|O|O|B
I want gift suggestion for boyfriend for birthday,2,want|gift|suggestion|for|boyfriend|for|birthday,O|B|O|O|O|O|O
I want a gift for girlfriend for Christmas,2,want|gift|for|girlfriend|for|christmas,
I want bracelet,2,want|bracelet,
Suprise gift for women,2,suprise|gift|for|women,
I want a gift for girlfriend for Independence Day,2,want|gift|for|girlfriend|for|independence|day,
Customized gift hamper,2,customized|gift|hamper,
I want gift suggestion for friend for personalised category,2,want|gift|suggestion|for|friend|for|personalised|category,
I want empty letters ill fill by myself,2,want|empty|letters|ill|fill|by|myself,
I want unruled customized book,2,want|unruled|customized|book,
I need to get a get well soon teddy by tomorrow,2,need|to|get|get|well|soon|teddy|by|tomorrow,
I want name on keychain,2,want|name|on|keychain,
I want gift suggestion for husband for birthday,2,want|gift|suggestion|for|husband|for|birthday,
I want gift suggestion for boyfriend for love gifts,2,want|gift|suggestion|for|boyfriend|for|love|gifts,
I want gift suggestion for kids,2,want|gift|suggestion|for|kids,
I want gift suggestion for kids,2,want|gift|suggestion|for|kids,
I want gift suggestion,2,want|gift|suggestion,
corporate gifts,2,corporate|gifts,
I want gift suggestion for sister,2,want|gift|suggestion|for|sister,
I want gift suggestion for boyfriend for personalised category,2,want|gift|suggestion|for|boyfriend|for|personalised|category,
escada perfume i need,2,escada|perfume|need,
I want gift suggestion for general in hatke category,2,want|gift|suggestion|for|general|in|hatke|category,
corporate gifting options,2,corporate|gifting|options,
I want gift suggestion for boyfriend for personalised category,2,want|gift|suggestion|for|boyfriend|for|personalised|category,
I want to order puzzle frame,2,want|to|order|puzzle|frame,
I want to customise a keychain,2,want|to|customise|keychain,
I want a gift for wife for Karva Chauth,2,want|gift|for|wife|for|karva|chauth,
I want gift suggestion for friend for birthday,2,want|gift|suggestion|for|friend|for|birthday,
I want gift suggestion for brother in all gifts,2,want|gift|suggestion|for|brother|in|all|gifts,
Gift for employees on independence,2,gift|for|employees|on|independence,
I want gift suggestion for friend for birthday,2,want|gift|suggestion|for|friend|for|birthday,
Key chain,2,key|chain,
Hiii i want to order pc customize keyring,2,hiii|want|to|order|pc|customize|keyring,
I want gift suggestion for dad for anniversary,2,want|gift|suggestion|for|dad|for|anniversary,
I need to order personalized gift card,2,need|to|order|personalized|gift|card,
Gift for favourite senior on his farewell,2,gift|for|favourite|senior|on|his|farewell,
I want a gift for wife for Karva Chauth,2,want|gift|for|wife|for|karva|chauth,
I want gift suggestion,2,want|gift|suggestion,
I want a gift for dad for Fathers Day,2,want|gift|for|dad|for|fathers|day,
I want gift suggestion for general in all gifts,2,want|gift|suggestion|for|general|in|all|gifts,
I want rose gold chain with xoxo pendent,2,want|rose|gold|chain|with|xoxo|pendent,
I want a gift for dad for Fathers Day,2,want|gift|for|dad|for|fathers|day,
I want a gift for dad for Fathers Day,2,want|gift|for|dad|for|fathers|day,
I want gift suggestion for husband in all gifts,2,want|gift|suggestion|for|husband|in|all|gifts,
I want gift suggestion for wife,2,want|gift|suggestion|for|wife,
Home appliance shop model key chain,2,home|appliance|shop|model|key|chain,
Send a gift,2,send|gift,
Birthday,2,birthday,
I want gift suggestion for mother in all gifts,2,want|gift|suggestion|for|mother|in|all|gifts,
I want a gift for boyfriend for Onam,2,want|gift|for|boyfriend|for|onam,
