"sentence","label","tokens","bio_tags"
"I want gift suggestion for general in all gifts",2,"want|gift|suggestion|for|general|in|all|gifts","O|B|O|O|O|O|O|B"
"I want gift suggestion for wife in all gifts",2,"want|gift|suggestion|for|wife|in|all|gifts","O|B|O|O|O|O|O|B"
"Hi I need to send a birthday scroll to my younger brother on his th birthday",2,"hi|need|to|send|birthday|scroll|to|my|younger|brother|on|his|th|birthday","O|O|O|O|B|I|O|O|O|O|O|O|O|O"
"Birthday",2,"birthday","O"
"I want gift suggestion for general for love gifts",2,"want|gift|suggestion|for|general|for|love|gifts","O|B|O|O|O|O|B|I"
"I want gift suggestion for boyfriend for birthday",2,"want|gift|suggestion|for|boyfriend|for|birthday","O|B|O|O|O|O|O"
"I want gift suggestion for general for anniversary",2,"want|gift|suggestion|for|general|for|anniversary","O|B|O|O|O|O|O"
"I want gift suggestion for couples for anniversary",2,"want|gift|suggestion|for|couples|for|anniversary","O|B|O|O|O|O|O"
"Birthday",2,"birthday","O"
"I want gift suggestion for dad for anniversary",2,"want|gift|suggestion|for|dad|for|anniversary","O|B|O|O|O|O|O"
"I want gift suggestion for general",2,"want|gift|suggestion|for|general","O|B|O|O|O"
"Gift option for teenagers",2,"gift|option|for|teenagers","B|O|O|O"
"I want gift suggestion",2,"want|gift|suggestion","O|B|O"
"I want a gift for wife for Christmas",2,"want|gift|for|wife|for|christmas","O|B|O|O|O|O"
"I want gift suggestion for friend for personalised category",2,"want|gift|suggestion|for|friend|for|personalised|category","O|B|O|O|O|O|O|O"
"I want gift suggestion for friend in all gifts",2,"want|gift|suggestion|for|friend|in|all|gifts","O|B|O|O|O|O|O|B"
"I want gift suggestion for friend for personalised category",2,"want|gift|suggestion|for|friend|for|personalised|category","O|B|O|O|O|O|O|O"
"I want gift suggestion for general in all gifts",2,"want|gift|suggestion|for|general|in|all|gifts","O|B|O|O|O|O|O|B"
"Love",2,"love","O"
"I want vanadana",2,"want|vanadana","O|B"
"I want gift suggestion for friend for personalised category",2,"want|gift|suggestion|for|friend|for|personalised|category","O|B|O|O|O|O|O|O"
"I want gift suggestion for friend for personalised category",2,"want|gift|suggestion|for|friend|for|personalised|category","O|B|O|O|O|O|O|O"
"I want a gift for wife for Christmas",2,"want|gift|for|wife|for|christmas","O|B|O|O|O|O"
"I want gift suggestion for husband for birthday",2,"want|gift|suggestion|for|husband|for|birthday","O|B|O|O|O|O|O"
"SISTER KE LIYE GIFT",2,"sister|ke|liye|gift","O|O|O|B"
"Birthday",2,"birthday","O"
"I want gift suggestion for wife",2,"want|gift|suggestion|for|wife","O|B|O|O"
"Birthday",2,"birthday","O"
"I want gift suggestion for friend for personalised category",2,"want|gift|suggestion|for|friend|for|personalised|category","O|B|O|O|O|O|O|O"
"I want a gift for husband for Diwali",2,"want|gift|for|husband|for|diwali","O|B|O|O|O|O"
"I want gift suggestion for brother for birthday",2,"want|gift|suggestion|for|brother|for|birthday","O|B|O|O|O|O|O"
"The teddy bear set",2,"the|teddy|bear|set","O|B|I|I"
"I want bluetooth speaker",2,"want|bluetooth|speaker","O|B|I"
"Customised key chain",2,"customised|key|chain","B|I|I"
"I want gift suggestion for husband for birthday",2,"want|gift|suggestion|for|husband|for|birthday","O|B|O|O|O|O|O"
"I want a gift for wife for Karva Chauth",2,"want|gift|for|wife|for|karva|chauth","O|B|O|O|O|O"
"Need customized keychain",2,"need|customized|keychain","O|B|I"
"Required key rings",2,"required|key|rings","O|B|I"
"Want some unique gift for my sister on her birthday",2,"want|some|unique|gift|for|my|sister|on|her|birthday","O|O|O|B|O|O|O|O|O|O"
"Watch",2,"watch","B"
"I want a gift for babies for Diwali",2,"want|gift|for|babies|for|diwali","O|B|O|O|O|O"
"I want gift suggestion for friend for personalised category",2,"want|gift|suggestion|for|friend|for|personalised|category","O|B|O|O|O|O|O|O"
"I want gift suggestion for friend in all gifts",2,"want|gift|suggestion|for|friend|in|all|gifts","O|B|O|O|O|O|O|B"
"I want gift suggestion for general in all gifts",2,"want|gift|suggestion|for|general|in|all|gifts","O|B|O|O|O|O|O|B"
"I want gift suggestion for friend in all gifts",2,"want|gift|suggestion|for|friend|in|all|gifts","O|B|O|O|O|O|O|B"
"I need pages notebook.",2,"need|pages|notebook","O|B|I"
"need ideas",2,"need|ideas","O|O"
"I want gift suggestion for boyfriend for birthday",2,"want|gift|suggestion|for|boyfriend|for|birthday","O|B|O|O|O|O|O"
"Poorvika bike point keychain",2,"poorvika|bike|point|keychain","B|I|I|I"
"I want gift suggestion for boyfriend for birthday",2,"want|gift|suggestion|for|boyfriend|for|birthday","O|B|O|O|O|O|O"
"I want a gift for girlfriend for Christmas",2,"want|gift|for|girlfriend|for|christmas","O|B|O|O|O|O"
"I want bracelet",2,"want|bracelet","O|B"
"Suprise gift for women",2,"suprise|gift|for|women","B|I|O|O"
"I want a gift for girlfriend for Independence Day",2,"want|gift|for|girlfriend|for|independence|day","O|B|O|O|O|O|O"
"Customized gift hamper",2,"customized|gift|hamper","B|I|I"
"I want gift suggestion for friend for personalised category",2,"want|gift|suggestion|for|friend|for|personalised|category","O|B|O|O|O|O|O|O"
"I want empty letters ill fill by myself",2,"want|empty|letters|ill|fill|by|myself","O|B|I|O|O|O|O"
"I want unruled customized book",2,"want|unruled|customized|book","O|B|I|I"
"I need to get a get well soon teddy by tomorrow",2,"need|to|get|get|well|soon|teddy|by|tomorrow","O|O|O|B|I|I|I|O|O"
"I want name on keychain",2,"want|name|on|keychain","O|O|O|B"
"I want gift suggestion for husband for birthday",2,"want|gift|suggestion|for|husband|for|birthday","O|B|O|O|O|O|O"
"I want gift suggestion for boyfriend for love gifts",2,"want|gift|suggestion|for|boyfriend|for|love|gifts","O|B|O|O|O|O|B|I"
"I want gift suggestion for kids",2,"want|gift|suggestion|for|kids","O|B|O|O|O"
"I want gift suggestion for kids",2,"want|gift|suggestion|for|kids","O|B|O|O|O"
"I want gift suggestion",2,"want|gift|suggestion","O|B|O"
"corporate gifts",2,"corporate|gifts","B|I"
"I want gift suggestion for sister",2,"want|gift|suggestion|for|sister","O|B|O|O|O"
"I want gift suggestion for boyfriend for personalised category",2,"want|gift|suggestion|for|boyfriend|for|personalised|category","O|B|O|O|O|O|O|O"
"escada perfume i need",2,"escada|perfume|need","B|I|O"
"I want gift suggestion for general in hatke category",2,"want|gift|suggestion|for|general|in|hatke|category","O|B|O|O|O|O|O|O"
"corporate gifting options",2,"corporate|gifting|options","B|I|O"
"I want gift suggestion for boyfriend for personalised category",2,"want|gift|suggestion|for|boyfriend|for|personalised|category","O|B|O|O|O|O|O|O"
"I want to order puzzle frame",2,"want|to|order|puzzle|frame","O|O|O|B|I"
"I want to customise a keychain",2,"want|to|customise|keychain","O|O|O|B"
"I want a gift for wife for Karva Chauth",2,"want|gift|for|wife|for|karva|chauth","O|B|O|O|O|O|O"
"I want gift suggestion for friend for birthday",2,"want|gift|suggestion|for|friend|for|birthday","O|B|O|O|O|O|O"
"I want gift suggestion for brother in all gifts",2,"want|gift|suggestion|for|brother|in|all|gifts","O|B|O|O|O|O|O|B"
"Gift for employees on independence",2,"gift|for|employees|on|independence","B|O|O|O|O"
"I want gift suggestion for friend for birthday",2,"want|gift|suggestion|for|friend|for|birthday","O|B|O|O|O|O|O"
"Key chain",2,"key|chain","B|I"
"Hiii i want to order pc customize keyring",2,"hiii|want|to|order|pc|customize|keyring","O|O|O|O|B|I|I"
